date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:34	110/110	---MCZ	200	added ('OK')	text/plain	date:Thu,%2003%20Sep%202026%2003:11:34%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/robots.txt		(from )
00:11:35	327524/327524	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Sep%202026%2003:11:34%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/index.html	(from )
00:11:35	14724/14724	---MCZ	200	added ('OK')	application/json	date:Thu,%2003%20Sep%202026%2003:11:35%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/meta/meta-f71059c6.json	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/meta/meta-f71059c6.json	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:35	14724/14724	---MCZ	200	added ('OK')	application/json	date:Thu,%2003%20Sep%202026%2003:11:35%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/meta/meta-82489c76.json	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/meta/meta-82489c76.json	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:36	1117/1117	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Sep%202026%2003:11:36%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/images/image-709183f1.png	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/images/image-709183f1.png	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:36	1117/1117	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Sep%202026%2003:11:36%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/images/image-16c11417.png	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/images/image-16c11417.png	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:36	3610/3610	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Sep%202026%2003:11:36%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/images/image-ca16b093.png	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/images/image-ca16b093.png	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:37	37335/37335	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Sep%202026%2003:11:37%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/meta/meta-b737b8c3.png	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/meta/meta-b737b8c3.png	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:37	2896/2896	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:37%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-34fca41a.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-34fca41a.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:38	5720/5720	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:38%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-239f96a2.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-239f96a2.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:38	3328/3328	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:38%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-b1651ba6.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-b1651ba6.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:39	3928/3928	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:38%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-d70500b6.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-d70500b6.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:39	7156/7156	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:39%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-948f92b1.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-948f92b1.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:39	10116/10116	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:39%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-95d47628.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-95d47628.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:40	8892/8892	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:40%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-48d54789.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-48d54789.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:40	7080/7080	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:40%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-b7bcaf4d.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-b7bcaf4d.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:40	4628/4628	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:40%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-f5679bd1.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-f5679bd1.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:41	6672/6672	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:41%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-4c7778ed.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-4c7778ed.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:41	26076/26076	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:41%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-388a7c4e.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-388a7c4e.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:41	27900/27900	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:41%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-cd48ba5f.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-cd48ba5f.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:42	4268/4268	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:42%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-c0215d82.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-c0215d82.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:42	8896/8896	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:42%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-ba02b29b.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-ba02b29b.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:43	7116/7116	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:43%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-d342a035.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-d342a035.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:43	4504/4504	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:43%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-29ec2a1b.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-29ec2a1b.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:44	6652/6652	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:43%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-2666a469.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-2666a469.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:44	25348/25348	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:44%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-ca74d670.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-ca74d670.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:44	27380/27380	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:44%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-5afd6099.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-5afd6099.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:45	4168/4168	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:44%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-b055aed3.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-b055aed3.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:45	40680/40680	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:45%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-89f781aa.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-89f781aa.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
00:11:45	30404/30404	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Sep%202026%2003:11:45%20GMT	https://glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-9aa59595.woff2	/Users/filipelima/websites/lima-site/glorious-task-766013-export-d98db.rehosted.page/assets/fonts/font-9aa59595.woff2	(from https://glorious-task-766013-export-d98db.rehosted.page/)
